Mes,Temporada,id_edifici,planta_edifici,id_preu,num_botellas
Gener,2012,GRE,1,4,4
Gener,2012,GRE,2,4,0
Febrer,2012,GRE,1,4,3
Febrer,2012,GRE,2,4,6
Març,2012,GRE,1,4,10
Març,2012,GRE,2,4,22
Abril,2012,GRE,1,4,0
Abril,2012,GRE,2,4,20
Maig,2012,GRE,1,4,0
Maig,2012,GRE,2,4,16
Juny,2012,GRE,1,4,1
Juny,2012,GRE,2,4,11
Juliol,2012,GRE,2,4,7
Juliol,2012,GRE,2,4,18
Agost,2012,GRE,1,4,3
Agost,2012,GRE,2,4,15
Septembre,2012,GRE,1,4,4
Septembre,2012,GRE,2,4,12
Octubre,2012,GRE,1,4,5
Octubre,2012,GRE,2,4,23
Novembre,2012,GRE,1,4,4
Novembre,2012,GRE,2,4,11
Decembre,2012,GRE,1,4,1
Decembre,2012,GRE,2,4,21
Gener,2012,LLE,1,4,13
Gener,2012,LLE,2,4,20
Gener,2012,LLE,3,4,10
Gener,2012,LLE,4,4,8
Gener,2012,LLE,5,4,1
Febrer,2012,LLE,1,4,6
Febrer,2012,LLE,2,4,30
Febrer,2012,LLE,3,4,36
Febrer,2012,LLE,4,4,10
Febrer,2012,LLE,5,4,28
Març,2012,LLE,1,4,5
Març,2012,LLE,2,4,16
Març,2012,LLE,3,4,34
Març,2012,LLE,4,4,21
Març,2012,LLE,5,4,5
Abril,2012,LLE,1,4,28
Abril,2012,LLE,2,4,8
Abril,2012,LLE,3,4,14
Abril,2012,LLE,4,4,19
Abril,2012,LLE,5,4,1
Maig,2012,LLE,1,4,30
Maig,2012,LLE,2,4,9
Maig,2012,LLE,3,4,22
Maig,2012,LLE,4,4,13
Maig,2012,LLE,5,4,0
Juny,2012,LLE,1,4,11
Juny,2012,LLE,2,4,8
Juny,2012,LLE,3,4,20
Juny,2012,LLE,4,4,25
Juny,2012,LLE,5,4,1
Juliol,2012,LLE,1,4,36
Juliol,2012,LLE,2,4,2
Juliol,2012,LLE,3,4,36
Juliol,2012,LLE,4,4,6
Juliol,2012,LLE,5,4,2
Agost,2012,LLE,1,4,17
Agost,2012,LLE,2,4,0
Agost,2012,LLE,3,4,34
Agost,2012,LLE,4,4,6
Agost,2012,LLE,5,4,2
Septembre,2012,LLE,1,4,14
Septembre,2012,LLE,2,4,2
Septembre,2012,LLE,3,4,1
Septembre,2012,LLE,4,4,5
Septembre,2012,LLE,5,4,0
