Temporada,Mes,Consum_Tank,id_preu
2012,Gener,6979.91,1
2012,Febrer,6979.05,1
2012,Març,7659.35,1
2012,Abril,7584.1,1
2012,Maig,8466.93,1
2012,Juny,6855.49,1
2012,Juliol,6301.96,1
2012,Agost,7695.11,1
2012,Setempre,5793,1
2012,Octubre,7654.13,1
2012,Novembre,6290.04,1
2012,Decembre,6363.07,1
2013,Gener,7471.09,1
2013,Febrer,8215.86,1
2013,Març,7259.28,1
2013,Abril,7493.21,1
2013,Maig,7332.49,1
2013,Juny,6621.56,1
2013,Juliol,8891.58,1
2013,Agost,7602.73,1
2013,Setempre,6198.4,1
2013,Octubre,8328.35,1
2013,Novembre,6620.07,1
2013,Decembre,8743.32,1
2014,Gener,10792.33,1
2014,Febrer,8881.89,1
2014,Març,7259.28,1
2014,Abril,7493.21,1
2014,Maig,7332.49,1
2014,Juny,8231.51,1
2014,Juliol,7156.47,1
2014,Agost,8393.17,1
2014,Setempre,7688.4,1
2014,Octubre,8648.02,1
2014,Novembre,6607.41,1
2014,Decembre,8743.32,1
2015,Gener,8973.27,1
2015,Febrer,9571.05,1
2015,Març,11718.85,1
2015,Abril,9576.23,1
2015,Juny,8580.17,1
2015,Juliol,6754.17,1
2015,Agost,7748,1
2015,Septembre,8364.12,1
2015,Octubre,8584.64,1
2015,Novembre,9426.49,1
2015,Decembre,11499.82,1
2015,Maig,9036,1
2016,Gener,10927.7,5
2016,Febrer,10767.49,5
2016,Març,11108.7,5
2016,Abril,10707.89,5
2016,Maig,11736.73,5
2016,Juny,8577.93,5
2016,Juliol,8499.71,5
2016,Agost,8344.75,5
2016,Septembre,11093.05,5
2016,Octubre,9311.76,5
2016,Novembre,10260.9,5
2016,Decembre,10369.66,5
2017,Gener,13314.65,5
2017,Febrer,11707.28,5
2017,Març,12194.91,5
2017,Abril,12799.85,5
2017,Mayo,14581.89,5
2017,Juny,11212.99,5
2017,Juliol,9129.89,5
2017,Agost,9515.89,5
2017,Septembre,10542.5,5
2017,Octubre,11832.84,5
2017,Novembre,12012.39,5
2017,Decembre,12645.63,5
2018,Gener,13731.84,5
2018,Febrer,12344.65,5
2018,Març,13082,5
2018,Abril,13429.37,5
2018,Maig,13787.72,5
2018,Juny,10243.01,5
2018,Juliol,11160.11,5
2018,Agost,18402.98,5
2018,Septembre,10003.12,5
2018,Octubre,11540.05,5
2018,Novembre,11626.47,5
2018,Desembre,9979.28,5
2019,Gener,13705.77,5
2019,Febrer,11914.04,5
2019,Març,14055.17,5
2019,Abril,12918.3,5
2019,Maig,12649.36,5
2019,Juny,10432.84,5
2019,Juliol,11179.47,5
2019,Agost,9224.59,5
2019,Septembre,10342.84,5
2019,Octubre,13281.8,5
2019,Novembre,12410.21,5
2019,Decembre,13468.11,5
2020,Gener,13280.05,5
2020,Febrer,12784.46,5
2020,Març,14734.61,5
2020,Abril,20711.05,5
2020,Maig,11317.3,5
2020,Juny,11242.8,5
2020,Juliol,11952.78,5
2020,Agost,12123.39,5
2020,Septembre,13604.45,5
2020,Octubre,13281.8,5
2020,Novembre,15244.19,5
2020,Decembre,16622.4,5
2021,Gener,16794.54,5
2021,Febrer,13773.56,5
2021,Març,15507.45,5
2021,Abril,16458.37,5
2021,Maig,14247.38,5
2021,Juny,6875.61,5
2021,Juliol,10406.91,5
2021,Agost,13248.34,5
2021,Septembre,11281.55,5
2021,Octubre,12742.48,5
2021,Novembre,15060.18,5
2021,Decembre,16734.94,5
2022,Gener,13854.02,5
2022,Febrer,14082.73,5
2022,Març,14711.51,5
2022,Abril,15344.02,5
2022,Maig,14033.76,5
2022,Juny,11862.63,5
2022,Juliol,7162.43,5
