Temporada,Mes,Consum_Tram1,Consum_Tram2,Consum_Tram3,Total Factura
2013,Gener,3330,0,0,9460.59
2013,Febrer,3128,0,0,8854.42
2013,Març,2959,0,0,8347.28
2013,Abril,3381,0,0,9613.63
2013,Maig,3478,0,0,9904.72
2013,Juny,3361,0,0,9553.64
2013,Juliol,7518,0,0,22028.16
2013,Agost,3027,0,0,8551.33
2013,Septembre,3195,0,0,9055.48
2013,Octubre,3834,0,0,10973.03
2013,Novembre,3354,0,0,9532.61
2013,Decembre,2742,0,0,7696.1
2014,Gener,2791,0,0,8226.87
2014,Febrer,2630,0,0,7908.03
2014,Març,3036,0,0,9218.05
2014,Abril,2651,0,0,7975.8
2014,Maig,2894,0,0,8759.9
2014,Juny,3090,0,0,9392.34
2014,Juliol,2896,0,0,8766.36
2014,Agost,2788,0,0,8417.85
2014,Septembre,3140,0,0,9553.68
2014,Octubre,3233,0,0,9853.8
2014,Novembre,3049,0,0,9260.06
2014,Decembre,2594,0,0,7913.69
2015,Gener,1800,794,0,7913.69
2015,Febrer,0,2572,0,7552.96
2015,Març,1788,1204,0,9280.03
2015,Abril,1800,864,0,8177.82
2015,Maig,12,2445,0,7496.29
2015,Juny,1788,1642,0,10739
2015,Juliol,3236,0,0,10061.14
2015,Agost,2758,0,0,8487.3
2015,Septembre,12,2746,0,8487.3
2015,Octubre,12,2859,0,8859.33
2015,Novembre,12,2574,0,7921.02
2015,Decembre,12,2848,0,8823.12
2016,Gener,12,2486,0,7631.29
2016,Febrer,12,2583,0,7911.5
2016,Març,12,2323,0,7094.65
2016,Abril,12,3055,0,9504.64
2016,Maig,12,2325,0,7321.87
2016,Juny,12,2713,0,8378.66
2016,Juliol,12,2862,0,8869.21
2016,Agost,12,2631,0,8108.69
2016,Septembre,12,2914,0,9040.42
2016,Octubre,12,2715,0,8668.23
2016,Novembre,12,3079,0,9485.73
2016,Decembre,12,2369,0,7133.99
2017,Gener,12,2579,0,7817.66
2017,Febrer,12,2295,0,6897.45
2017,Març,12,2738,0,8333.79
2017,Abril,12,2185,0,6570.02
2017,Maig,12,2418,0,7324.83
2017,Juny,12,2708,0,8268.31
2017,Juliol,12,2809,0,8600.15
2017,Agost,13,2600,0,7978.45
2017,Septembre,12,2772,0,8479.78
2017,Octubre,12,2560,0,7790.06
2017,Novembre,12,2494,0,7575.32
2017,Decembre,12,2316,0,6998.81
2018,Gener,12,2556,0,7818.68
2018,Febrer,12,2352,0,7115.95
2018,Març,12,3007,0,9246.92
2018,Abril,12,2434,0,7382.72
2018,Maig,12,2662,0,8071.14
2018,Juny,12,2987,0,9086.39
2018,Juliol,12,1388,0,4219.43
2018,Agost,12,4669,0,14449.61
2018,Septembre,12,2341,0,7007.37
2018,Octubre,12,3107,0,9472.58
2018,Novembre,12,2787,0,8442.72
2018,Decembre,12,2389,0,7163.35
2019,Gener,12,2344,0,7018.51
2019,Febrer,12,2645,0,7987.23
2019,Març,12,2543,0,7658.96
2019,Abril,12,2480,0,7456.2
2019,Maig,12,2705,0,8180.33
2019,Juny,12,2252,0,6722.43
2019,Juliol,12,2748,0,8318.72
2019,Agost,12,3456,0,10597.29
2019,Septembre,12,3096,0,9438.69
2019,Octubre,12,2603,0,7852.07
2019,Novembre,12,2812,0,8524.7
2019,Decembre,12,2190,0,6523.73
2020,Gener,2388,0,0,7407
2020,Febrer,2426,0,0,7534
2020,Març,2003,0,0,5229
2020,Abril,1898,0,0,4927
2020,Maig,1975,0,0,6033
2020,Juny,2076,0,0,6369
2020,Juliol,2830,0,0,8879
2020,Agost,2596,0,0,8100
2020,Septembre,2370,0,0,7347
2020,Octubre,3350,0,0,10609
2020,Novembre,2172,0,0,6688
2020,Decembre,2576,0,0,8033
2021,Gener,2241,0,0,6918
2021,Febrer,2516,0,0,7833
2021,Març,2922,0,0,9185
2021,Abril,2585,0,0,8063
2021,Maig,2912,0,0,9151
2021,Juny,2637,0,0,8236
2021,Juliol,3001,0,0,9448
2021,Agost,3160,0,0,10059
2021,Septembre,3116,0,0,9920
2021,Octubre,2770,0,0,8757
2021,Novembre,2348,0,0,7339
2021,Decembre,2284,0,0,7126
