Error en la consulta del 2013.
[INFO] Connect to Database established 23/03/2020 02:14:19pm
[INFO] Connect to Database established 23/03/2020 02:14:19pm
[INFO] Connect to Database established 23/03/2020 02:14:25pm
[INFO] Connect to Database established 23/03/2020 02:14:25pm
[INFO] Connect to Database established 23/03/2020 02:15:08pm
[INFO] Connect to Database established 23/03/2020 02:15:08pm
[INFO] Connect to Database established 23/03/2020 02:15:14pm
[INFO] Connect to Database established 23/03/2020 02:15:14pm
[INFO] Connect to Database established 23/03/2020 02:15:18pm
[INFO] Connect to Database established 23/03/2020 02:15:18pm
[INFO] Connect to Database established 23/03/2020 02:15:23pm
[INFO] Connect to Database established 23/03/2020 02:15:23pm
[INFO] Connect to Database established 23/03/2020 02:15:27pm
[INFO] Connect to Database established 23/03/2020 02:15:27pm
[INFO] Connect to Database established 23/03/2020 02:15:30pm
[INFO] Connect to Database established 23/03/2020 02:15:30pm
[INFO] Connect to Database established 23/03/2020 02:15:34pm
[INFO] Connect to Database established 23/03/2020 02:15:34pm
[INFO] Connect to Database established 23/03/2020 02:31:46pm
[INFO] Connect to Database established 23/03/2020 02:31:46pm
[INFO] Connect to Database established 23/03/2020 02:31:49pm
[INFO] Connect to Database established 23/03/2020 02:31:49pm
[INFO] Connect to Database established 23/03/2020 02:42:48pm
[INFO] Connect to Database established 23/03/2020 02:43:54pm
[INFO] Connect to Database established 23/03/2020 02:45:53pm
[INFO] Connect to Database established 23/03/2020 02:45:57pm
[INFO] Connect to Database established 23/03/2020 02:46:02pm
[INFO] Connect to Database established 23/03/2020 02:46:59pm
[INFO] Connect to Database established 23/03/2020 02:50:37pm
[INFO] Connect to Database established 23/03/2020 02:51:22pm
[INFO] Connect to Database established 23/03/2020 02:51:51pm
[INFO] Connect to Database established 23/03/2020 02:52:37pm
[INFO] Connect to Database established 23/03/2020 02:52:42pm
[INFO] Connect to Database established 23/03/2020 02:53:03pm
[INFO] Connect to Database established 23/03/2020 02:53:03pm
[INFO] Connect to Database established 23/03/2020 02:53:06pm
[INFO] Connect to Database established 23/03/2020 02:53:06pm
[INFO] Connect to Database established 23/03/2020 02:53:12pm
[INFO] Connect to Database established 23/03/2020 02:53:12pm
[INFO] Connect to Database established 23/03/2020 02:53:29pm
[INFO] Connect to Database established 23/03/2020 02:53:29pm
[INFO] Connect to Database established 23/03/2020 02:53:32pm
[INFO] Connect to Database established 23/03/2020 02:53:32pm
[INFO] Connect to Database established 23/03/2020 02:58:25pm
[INFO] Connect to Database established 23/03/2020 02:58:25pm
[INFO] Connect to Database established 23/03/2020 03:05:05pm
[INFO] Connect to Database established 23/03/2020 03:05:35pm
[INFO] Connect to Database established 23/03/2020 03:05:35pm
[INFO] Connect to Database established 23/03/2020 03:10:33pm
[INFO] Connect to Database established 23/03/2020 03:10:33pm
[INFO] Connect to Database established 23/03/2020 03:10:37pm
[INFO] Connect to Database established 23/03/2020 03:10:37pm
[INFO] Connect to Database established 23/03/2020 03:17:27pm
[INFO] Connect to Database established 23/03/2020 03:17:27pm
[INFO] Connect to Database established 23/03/2020 03:17:29pm
[INFO] Connect to Database established 23/03/2020 03:17:29pm
[INFO] Connect to Database established 23/03/2020 03:18:13pm
[INFO] Connect to Database established 23/03/2020 03:18:37pm
[INFO] Connect to Database established 23/03/2020 03:18:37pm
[INFO] Connect to Database established 23/03/2020 03:18:43pm
[INFO] Connect to Database established 23/03/2020 03:18:43pm
[INFO] Connect to Database established 23/03/2020 03:20:55pm
[INFO] Connect to Database established 23/03/2020 03:20:55pm
[INFO] Connect to Database established 23/03/2020 03:21:08pm
[INFO] Connect to Database established 23/03/2020 03:21:08pm
[INFO] Connect to Database established 24/03/2020 03:24:26pm
[INFO] Connect to Database established 24/03/2020 03:24:32pm
[INFO] Connect to Database established 24/03/2020 03:24:32pm
[INFO] Connect to Database established 24/03/2020 03:35:03pm
[INFO] Connect to Database established 24/03/2020 03:35:04pm
[INFO] Connect to Database established 24/03/2020 03:35:05pm
[INFO] Connect to Database established 24/03/2020 03:35:05pm
[INFO] Connect to Database established 24/03/2020 03:35:08pm
[INFO] Connect to Database established 24/03/2020 03:35:08pm
[INFO] Connect to Database established 24/03/2020 03:35:11pm
[INFO] Connect to Database established 24/03/2020 03:35:11pm
[INFO] Connect to Database established 24/03/2020 03:35:14pm
[INFO] Connect to Database established 24/03/2020 03:35:27pm
[INFO] Connect to Database established 24/03/2020 03:35:36pm
